experiment_id,timeframe,window,forward_set,regime,symbols_cached,selected_symbols,cache_hit_rate,min_rows,estimated_windows,estimated_runtime_seconds,classification,needs_director_approval
RC-002-B,30m,W50,slow,gap_day,117,117,1.0,143,39325,0.065828,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,slow,high_rvol,117,117,1.0,143,39325,0.065828,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,slow,first_hour,117,117,1.0,143,39325,0.065828,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W50,slow,last_hour,117,117,1.0,143,39325,0.065828,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,fast,no_filter,117,117,1.0,143,74789,0.125192,READY,True
RC-002-B,30m,W100,fast,spy_qqq_positive,117,117,1.0,143,37394,0.062595,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,fast,spy_qqq_negative,117,117,1.0,143,37394,0.062595,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,fast,gap_day,117,117,1.0,143,37394,0.062595,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,fast,high_rvol,117,117,1.0,143,37394,0.062595,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,fast,first_hour,117,117,1.0,143,37394,0.062595,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,fast,last_hour,117,117,1.0,143,37394,0.062595,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,standard,no_filter,117,117,1.0,143,73736,0.12343,READY,True
RC-002-B,30m,W100,standard,spy_qqq_positive,117,117,1.0,143,36868,0.061715,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,standard,spy_qqq_negative,117,117,1.0,143,36868,0.061715,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,standard,gap_day,117,117,1.0,143,36868,0.061715,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,standard,high_rvol,117,117,1.0,143,36868,0.061715,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,standard,first_hour,117,117,1.0,143,36868,0.061715,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,standard,last_hour,117,117,1.0,143,36868,0.061715,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,slow,no_filter,117,117,1.0,143,72800,0.121863,READY,True
RC-002-B,30m,W100,slow,spy_qqq_positive,117,117,1.0,143,36400,0.060931,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,slow,spy_qqq_negative,117,117,1.0,143,36400,0.060931,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,slow,gap_day,117,117,1.0,143,36400,0.060931,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,slow,high_rvol,117,117,1.0,143,36400,0.060931,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,slow,first_hour,117,117,1.0,143,36400,0.060931,NEEDS_DIRECTOR_APPROVAL,True
RC-002-B,30m,W100,slow,last_hour,117,117,1.0,143,36400,0.060931,NEEDS_DIRECTOR_APPROVAL,True
