pattern_id,ticker,trade_count,event_count,net_pnl,winrate,profit_factor,avg_trade,max_drawdown,first_seen,last_seen,notes
PATTERN_000006,ARWR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-09-15T00:00:00+00:00,2021-09-15T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000006,CRDO,0,3,0,0.000000,0.000000,-1.000000,3.000000,2023-10-23T00:00:00+00:00,2024-03-07T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000006,CROX,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-11-26T00:00:00+00:00,2021-11-26T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000007,ACMR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-03-29T00:00:00+00:00,2022-03-29T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000007,ARWR,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-07-21T00:00:00+00:00,2022-05-24T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000007,CRDO,0,2,0,1.000000,5.000000,2.500000,0.000000,2024-09-19T00:00:00+00:00,2024-09-24T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000007,CROX,0,1,0,1.000000,0.462000,0.462000,0.000000,2022-03-08T00:00:00+00:00,2022-03-08T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000007,FOUR,0,2,0,0.000000,0.000000,-1.000000,2.000000,2022-05-24T00:00:00+00:00,2022-07-05T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000007,FUBO,0,2,0,1.000000,5.000000,2.500000,0.000000,2023-08-22T00:00:00+00:00,2023-08-25T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000007,INSP,0,1,0,1.000000,0.983500,0.983500,0.000000,2022-05-24T00:00:00+00:00,2022-05-24T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000008,ACMR,0,2,0,1.000000,8.000000,4.000000,0.000000,2024-02-22T00:00:00+00:00,2024-02-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000008,ALGM,0,1,0,1.000000,4.000000,4.000000,0.000000,2022-11-04T00:00:00+00:00,2022-11-04T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000008,CRDO,0,1,0,1.000000,2.050700,2.050700,0.000000,2023-11-13T00:00:00+00:00,2023-11-13T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000008,ENPH,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-11-22T00:00:00+00:00,2022-11-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000008,FIVN,0,1,0,1.000000,0.906000,0.906000,0.000000,2022-12-09T00:00:00+00:00,2022-12-09T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000008,FOUR,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-12-17T00:00:00+00:00,2021-12-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000008,GH,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-08-03T00:00:00+00:00,2022-08-03T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000008,HIMS,0,1,0,1.000000,4.000000,4.000000,0.000000,2022-06-10T00:00:00+00:00,2022-06-10T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000008,INSP,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-02-14T00:00:00+00:00,2022-02-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000009,ACMR,0,1,0,1.000000,4.000000,4.000000,0.000000,2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000009,CARG,0,3,0,0.000000,0.000000,-1.000000,3.000000,2023-01-20T00:00:00+00:00,2023-06-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000009,CRDO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2023-01-26T00:00:00+00:00,2023-01-26T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000009,DLO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2023-07-27T00:00:00+00:00,2023-07-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000009,FRPT,0,2,0,0.000000,0.000000,-0.776950,1.553900,2021-09-28T00:00:00+00:00,2023-12-26T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000009,INSP,0,3,0,1.000000,12.000000,4.000000,0.000000,2021-07-02T00:00:00+00:00,2022-04-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000010,ACMR,0,3,0,0.000000,0.000000,-1.000000,3.000000,2022-03-24T00:00:00+00:00,2022-04-25T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000010,FOUR,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-01-27T00:00:00+00:00,2022-01-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000010,FUBO,0,3,0,0.666667,5.000000,1.333333,1.000000,2021-12-09T00:00:00+00:00,2023-01-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000010,GH,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-03-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000010,HIMS,0,2,0,1.000000,5.000000,2.500000,0.000000,2022-05-11T00:00:00+00:00,2022-10-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000011,ACMR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2024-04-23T00:00:00+00:00,2024-04-23T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000011,CRDO,0,1,0,1.000000,4.000000,4.000000,0.000000,2023-05-02T00:00:00+00:00,2023-05-02T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000011,CROX,0,1,0,1.000000,4.000000,4.000000,0.000000,2022-11-01T00:00:00+00:00,2022-11-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000011,ENPH,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-12-09T00:00:00+00:00,2021-12-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
