symbol,name,tier,benchmark_only,operational_eligible,product_type,security_type,source,source_rank,cap_segment,classification_status,exclusion_reason
LOW,,research,False,True,STK,stock,fallback_liquid_stock_list,107,large_liquid_fallback,stock_only_seed_or_fallback,
MCD,,research,False,True,STK,stock,fallback_liquid_stock_list,108,large_liquid_fallback,stock_only_seed_or_fallback,
SBUX,,research,False,True,STK,stock,fallback_liquid_stock_list,109,large_liquid_fallback,stock_only_seed_or_fallback,
NKE,,research,False,True,STK,stock,fallback_liquid_stock_list,110,large_liquid_fallback,stock_only_seed_or_fallback,
TGT,,research,False,True,STK,stock,fallback_liquid_stock_list,111,large_liquid_fallback,stock_only_seed_or_fallback,
CMG,,research,False,True,STK,stock,fallback_liquid_stock_list,112,large_liquid_fallback,stock_only_seed_or_fallback,
CAVA,,research,False,True,STK,stock,fallback_liquid_stock_list,113,large_liquid_fallback,stock_only_seed_or_fallback,
DECK,,research,False,True,STK,stock,fallback_liquid_stock_list,114,large_liquid_fallback,stock_only_seed_or_fallback,
LULU,,research,False,True,STK,stock,fallback_liquid_stock_list,115,large_liquid_fallback,stock_only_seed_or_fallback,
XOM,,research,False,True,STK,stock,fallback_liquid_stock_list,116,large_liquid_fallback,stock_only_seed_or_fallback,
CVX,,research,False,True,STK,stock,fallback_liquid_stock_list,117,large_liquid_fallback,stock_only_seed_or_fallback,
COP,,research,False,True,STK,stock,fallback_liquid_stock_list,118,large_liquid_fallback,stock_only_seed_or_fallback,
SLB,,research,False,True,STK,stock,fallback_liquid_stock_list,119,large_liquid_fallback,stock_only_seed_or_fallback,
EOG,,research,False,True,STK,stock,fallback_liquid_stock_list,120,large_liquid_fallback,stock_only_seed_or_fallback,
LIN,,research,False,True,STK,stock,fallback_liquid_stock_list,121,large_liquid_fallback,stock_only_seed_or_fallback,
APD,,research,False,True,STK,stock,fallback_liquid_stock_list,122,large_liquid_fallback,stock_only_seed_or_fallback,
SHW,,research,False,True,STK,stock,fallback_liquid_stock_list,123,large_liquid_fallback,stock_only_seed_or_fallback,
CAT,,research,False,True,STK,stock,fallback_liquid_stock_list,124,large_liquid_fallback,stock_only_seed_or_fallback,
DE,,research,False,True,STK,stock,fallback_liquid_stock_list,125,large_liquid_fallback,stock_only_seed_or_fallback,
GE,,research,False,True,STK,stock,fallback_liquid_stock_list,126,large_liquid_fallback,stock_only_seed_or_fallback,
HON,,research,False,True,STK,stock,fallback_liquid_stock_list,127,large_liquid_fallback,stock_only_seed_or_fallback,
ETN,,research,False,True,STK,stock,fallback_liquid_stock_list,128,large_liquid_fallback,stock_only_seed_or_fallback,
EMR,,research,False,True,STK,stock,fallback_liquid_stock_list,129,large_liquid_fallback,stock_only_seed_or_fallback,
BA,,research,False,True,STK,stock,fallback_liquid_stock_list,130,large_liquid_fallback,stock_only_seed_or_fallback,
LMT,,research,False,True,STK,stock,fallback_liquid_stock_list,131,large_liquid_fallback,stock_only_seed_or_fallback,
RTX,,research,False,True,STK,stock,fallback_liquid_stock_list,132,large_liquid_fallback,stock_only_seed_or_fallback,
UPS,,research,False,True,STK,stock,fallback_liquid_stock_list,133,large_liquid_fallback,stock_only_seed_or_fallback,
FDX,,research,False,True,STK,stock,fallback_liquid_stock_list,134,large_liquid_fallback,stock_only_seed_or_fallback,
UNP,,research,False,True,STK,stock,fallback_liquid_stock_list,135,large_liquid_fallback,stock_only_seed_or_fallback,
CSX,,research,False,True,STK,stock,fallback_liquid_stock_list,136,large_liquid_fallback,stock_only_seed_or_fallback,
NEE,,research,False,True,STK,stock,fallback_liquid_stock_list,137,large_liquid_fallback,stock_only_seed_or_fallback,
DUK,,research,False,True,STK,stock,fallback_liquid_stock_list,138,large_liquid_fallback,stock_only_seed_or_fallback,
SO,,research,False,True,STK,stock,fallback_liquid_stock_list,139,large_liquid_fallback,stock_only_seed_or_fallback,
PLTR,,research,False,True,STK,stock,fallback_liquid_stock_list,140,large_liquid_fallback,stock_only_seed_or_fallback,
APP,,research,False,True,STK,stock,fallback_liquid_stock_list,141,large_liquid_fallback,stock_only_seed_or_fallback,
CME,,research,False,True,STK,stock,fallback_liquid_stock_list,142,large_liquid_fallback,stock_only_seed_or_fallback,
ADP,,research,False,True,STK,stock,fallback_liquid_stock_list,143,large_liquid_fallback,stock_only_seed_or_fallback,
CDNS,,research,False,True,STK,stock,fallback_liquid_stock_list,144,large_liquid_fallback,stock_only_seed_or_fallback,
SNPS,,research,False,True,STK,stock,fallback_liquid_stock_list,145,large_liquid_fallback,stock_only_seed_or_fallback,
ADI,,research,False,True,STK,stock,fallback_liquid_stock_list,146,large_liquid_fallback,stock_only_seed_or_fallback,
MRVL,,research,False,True,STK,stock,fallback_liquid_stock_list,147,large_liquid_fallback,stock_only_seed_or_fallback,
APH,,research,False,True,STK,stock,fallback_liquid_stock_list,148,large_liquid_fallback,stock_only_seed_or_fallback,
TTD,,research,False,True,STK,stock,fallback_liquid_stock_list,149,large_liquid_fallback,stock_only_seed_or_fallback,
DDOG,,research,False,True,STK,stock,fallback_liquid_stock_list,150,large_liquid_fallback,stock_only_seed_or_fallback,
SPY,SPY,research,True,False,ETF,benchmark_etf,benchmark_required,0,benchmark,benchmark_only,benchmark_not_operational_symbol
QQQ,QQQ,research,True,False,ETF,benchmark_etf,benchmark_required,0,benchmark,benchmark_only,benchmark_not_operational_symbol
