trade_id,symbol,signal_date,entry_date,signal_close_to_next_open_pct,next_open_to_close_day1_pct,day1_to_day3_pct,day3_to_day5_pct,day5_to_day10_pct,mae_pct,mfe_pct,net_return_x2_pct
DSS-BO-001-00048,OLLI,2024-07-11,2024-07-12,0.8708560118753095,-0.16678112430099645,-0.3046383647798745,-0.8871365204534354,-4.525111884634503,-6.357304032178945,2.9922495830471796,-6.017718041793396
DSS-BO-001-00049,AAON,2024-07-15,2024-07-16,1.051117503872545,2.7701740939450437,-8.107820157681655,3.5710144927536103,-3.8620844061345583,-9.53684441037993,2.8249206175407826,-6.167371071936934
DSS-BO-001-00050,UPST,2024-07-15,2024-07-16,0.8678237650200149,5.757776307081408,-13.047559449311642,-0.5757466714645609,-5.790807093738682,-18.19986763732627,8.471211118464606,-14.064990072799466
DSS-BO-001-00051,FN,2024-07-16,2024-07-17,-2.263653483992467,-2.6012563104551245,-3.113871963282422,-8.314615918650714,-1.759387109705579,-18.74060657443446,2.003930787313579,-15.20250491348415
DSS-BO-001-00052,GH,2024-07-16,2024-07-17,-2.3943245639964417,-1.4233797698364858,-1.6897081413210335,-0.6874999999999964,10.5412208936438,-7.450030284675968,12.174439733494836,6.190066626287094
DSS-BO-001-00053,IOVA,2024-07-16,2024-07-17,-1.9128586609989395,-3.1419284940411796,-6.823266219239366,9.603841536614643,-4.381161007667034,-14.409534127843992,9.642470205850472,-5.617118093174433
DSS-BO-001-00054,APPF,2024-07-22,2024-07-23,0.08525781221040418,0.007407407407411526,-14.469298570476264,-4.944793245291179,-5.211132874777935,-26.822222222222216,1.6888888888888953,-23.129629629629633
DSS-BO-001-00055,TMDX,2024-07-23,2024-07-24,-1.1906294246363691,-2.826809092685467,-6.8302165024465396,2.345323741007177,2.523548432447642,-11.411450530840883,12.01719533641632,-5.202279684752176
DSS-BO-001-00056,PRVA,2024-07-30,2024-07-31,-0.19020446980505534,-1.191043353978083,-7.13596914175505,-5.140186915887856,5.528188286808988,-13.292043830395428,4.525964745116728,-8.346736541210086
DSS-BO-001-00057,CRDO,2024-08-21,2024-08-22,0.22172949002217113,-2.5995575221238854,0.4542873367404887,-0.5087620124364034,-30.738636363636374,-33.4070796460177,1.797566371681425,-32.777433628318576
DSS-BO-001-00058,AAON,2024-08-23,2024-08-26,0.4477611940298498,-1.188707280832102,-0.16111707841029999,-4.701452393760086,-1.0611876270038345,-8.639354701761837,1.6663128847378639,-7.183655274888556
DSS-BO-001-00059,ENPH,2024-08-23,2024-08-26,1.6260162601626105,-1.9279999999999964,-1.0522881148543939,-6.916735366859028,-7.350987512177842,-19.616,4.064000000000001,-16.512000000000004
DSS-BO-001-00060,WING,2024-08-23,2024-08-26,-0.6420345249693926,0.739213517047177,-4.510058403634021,-3.405734598395138,1.8887325468124327,-9.793321935029676,2.109524288444131,-5.525354520768378
DSS-BO-001-00061,ZETA,2024-08-30,2024-09-03,0.15145778114349362,-3.3270321361058564,-1.9945248337896015,-0.31923383878690315,9.84787830264211,-6.994328922495264,4.839319470699444,3.5429111531191104
DSS-BO-001-00062,INSP,2024-09-09,2024-09-10,-0.24583963691376942,0.7488151658767928,-4.040831686894341,1.3284964949262124,0.4983067247218198,-4.450236966824638,3.5639810426540297,-1.7497630331753555
DSS-BO-001-00063,SKYW,2024-09-13,2024-09-16,0.16611295681061566,1.569077688480669,1.7583521728208984,1.4564305109849407,3.430656934306553,-0.497512437810943,8.814899859675984,8.257711442786064
DSS-BO-001-00064,WING,2024-09-17,2024-09-18,-0.18646776771443774,-0.7642477618458487,3.6868612781771226,-1.2544211270926753,0.09551554515498939,-2.261202901715309,4.32345876701361,1.50075454302836
DSS-BO-001-00065,AAON,2024-09-19,2024-09-20,-0.35387791212031505,1.9137811975929786,3.126512438292517,-0.1971090670170872,0.5736856954763558,-0.9667554503304809,7.221071322876593,5.294722304429311
DSS-BO-001-00066,CALM,2024-09-19,2024-09-20,-0.16709706820597914,1.582471089470494,-2.127022168963455,2.066115702479321,13.285350127455398,-1.4759586122945811,15.094339622641506,14.757395009129649
DSS-BO-001-00067,FOUR,2024-09-19,2024-09-20,0.5937827453719846,0.578703703703698,-1.3233601841196818,2.4489795918367196,4.211724530449623,-2.997685185185184,6.562499999999982,5.76064814814814
DSS-BO-001-00068,MNDY,2024-09-19,2024-09-20,-0.4301388838260478,2.570016474464598,0.18917086054894838,-3.110081938012099,2.0664043828363177,-3.2729269632070235,4.572579168954793,1.4254805052169142
DSS-BO-001-00069,OLLI,2024-09-23,2024-09-24,0.039339103068436465,0.33425088478176157,-4.9774642367234945,-1.526087853165603,-1.0680628272251247,-9.132913881242622,0.6488399528116418,-7.3175776641761665
DSS-BO-001-00070,APPF,2024-09-24,2024-09-25,0.4695819881765928,-2.2910320076785062,0.5381395746134832,-3.602378929481742,-0.7756037369998192,-7.081751032842298,0.1544047072570276,-6.238475983808367
DSS-BO-001-00071,TSLA,2024-09-24,2024-09-25,-0.6764462972430829,1.7699465452385654,1.7936347365963723,-4.8197836639529035,-3.200546140872218,-5.836468026133446,4.874282320332601,-4.753553751732332
