episode_id,episode_type,policy,offset,symbol,first_signal_date,source_first_signal_date,offset_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct
EPISODE_GAP_5-FDX-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,FDX,2024-05-10,2024-05-10,2024-05-10,2024-05-13,2024-05-28,204.51,190.68,10,False,-6.762505500953486,-6.862505500953486,-6.962505500953487,-7.0625055009534865
EPISODE_GAP_5-ISRG-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,ISRG,2024-05-10,2024-05-10,2024-05-10,2024-05-13,2024-05-28,389.16,401.03,10,False,3.050159317504364,2.950159317504364,2.850159317504364,2.750159317504364
EPISODE_GAP_5-UNH-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,UNH,2024-05-10,2024-05-10,2024-05-10,2024-05-13,2024-05-28,487.38,479.42,10,False,-1.6332225368295705,-1.7332225368295706,-1.8332225368295707,-1.9332225368295703
EPISODE_GAP_5-C-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,C,2024-05-13,2024-05-13,2024-05-13,2024-05-14,2024-05-29,60.07,58.65,10,False,-2.3639087730980557,-2.463908773098056,-2.563908773098056,-2.6639087730980555
EPISODE_GAP_5-CVX-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,CVX,2024-05-13,2024-05-13,2024-05-13,2024-05-14,2024-05-29,149.37,144.05,10,False,-3.5616254937403724,-3.6616254937403725,-3.7616254937403726,-3.8616254937403727
EPISODE_GAP_5-RXRX-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,RXRX,2024-05-13,2024-05-13,2024-05-13,2024-05-14,2024-05-29,9.73,8.58,10,False,-11.819116135662899,-11.9191161356629,-12.0191161356629,-12.1191161356629
EPISODE_GAP_5-CALM-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,CALM,2024-05-14,2024-05-14,2024-05-14,2024-05-15,2024-05-30,51.61,53.13,10,False,2.9451656655687053,2.845165665568705,2.745165665568705,2.6451656655687055
EPISODE_GAP_5-DHR-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,DHR,2024-05-14,2024-05-14,2024-05-14,2024-05-15,2024-05-30,256.47,249.31,10,False,-2.7917495223612976,-2.8917495223612977,-2.9917495223612978,-3.0917495223612974
EPISODE_GAP_5-LMT-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,LMT,2024-05-14,2024-05-14,2024-05-14,2024-05-15,2024-05-30,439.4,434.37,10,False,-1.1447428311333607,-1.2447428311333608,-1.3447428311333607,-1.4447428311333605
EPISODE_GAP_5-ORCL-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,ORCL,2024-05-14,2024-05-14,2024-05-14,2024-05-15,2024-05-30,117.66,114.65,10,False,-2.5582185959544423,-2.6582185959544424,-2.7582185959544425,-2.858218595954442
