period_start,period_end,period_type,pattern_id,event_count,trade_count,gross_pnl,net_pnl,winrate,profit_factor,max_drawdown,market_regime,notes
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000004,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,day,PATTERN_000570,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,day,PATTERN_000575,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,day,PATTERN_000584,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,day,PATTERN_000606,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,day,PATTERN_000621,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,day,PATTERN_000624,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,day,PATTERN_000635,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-18T00:00:00+00:00,2022-02-18T00:00:00+00:00,day,PATTERN_000369,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-22T00:00:00+00:00,2022-02-22T00:00:00+00:00,day,PATTERN_000088,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-22T00:00:00+00:00,2022-02-22T00:00:00+00:00,day,PATTERN_000694,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000051,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000098,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000110,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000127,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000133,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000146,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000166,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000207,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000434,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
